product_id,product_name,overall_rating,price,product_details,ratings,reviews,user_score,top_reviews,pos_3,neg_3,score,sentiment
4obtb7,"Hipbrat, Red/ MatteLiquid/ LipstickPack of 1",3.8,103.0,"Name : Hipbrat, Red/ MatteLiquid/ LipstickPack of 1|Product Name : Hipbrat, Red/ MatteLiquid/ LipstickPack of 1|Brand Name : Hipbrat|Finish : Long Wearing & Transfer Resistant|Color : Combo Of Pink Red Maroon|Type : Waterproof|Net Quantity (N) : 6|Add On : Eye Liner|4 LIPSTIC ANDEYELINER KAJAL PACK||Country of Origin : India",19451.0,6351.0,1.4487823317364763,"it is very good, it is water proof :red_heart: but it is missing the kajal? that is why I reduced it by one star good nice lipstick, kajal eyeliner must buy guyz the shade of lipstick is good but I have given only 2 kajals, those too were not waterproof and the packaging was also not good so I have exchanged them best and good in less pric and easy to carry lipsticks eyeliner is also good but kajal is very bad","['shade', 'delivery', 'product']","['packaging', 'eyeliner', 'eyel']",-0.07368308004819256,0
5k6fjf,Apple lipstick 2,3.7,106.0,"Name : Apple lipstick 2|Product Name : Apple lipstick 2|Finish : Long Wearing & Transfer Resistant|Color : Combo Of Red Shade|Type : Waterproof|Net Quantity (N) : 1|Add On : Lip Gloss|Red Mahroom Apple lipstick,||Country of Origin : India",10146.0,2525.0,2.72330565614884,"nice ?product beautiful it's really good quality it is exactly as I asked for, thank you Meesho and I am very happy at such a low price, thank you, thank you Meesho very nice product very nice product very good product","['quality', 'product', 'price']","['lipstick', 'damage', 'application']",0.9750674878302266,1
5b49ob,"MARS Ultra Pigmented Super Soft Ultra Matte Lipstick Long Lasting Pack of 4 (Shade-F, 14.4 g)",4.1,350.0,"Name : MARS Ultra Pigmented Super Soft Ultra Matte Lipstick Long Lasting Pack of 4 (Shade-F, 14.4 g)|Product Name : MARS Ultra Pigmented Super Soft Ultra Matte Lipstick Long Lasting Pack of 4 (Shade-F, 14.4 g)|Brand Name : Mars|Finish : Matte|Color : Nude|Type : Liquid|Net Quantity (N) : 4|Mars Super Soft Creamy Matte Lipstick is the ultimate makeup kit essential, promising lips that look fuller and more luscious. This luxurious lipstick is available in lovely radiant & matte colors that are rich in moisturizing properties, keeping your lips looking fuller and creamier all day long. Enriched with Vitamin E and sunscreen agents with SPF 10, it nourishes and protects your lips from harmful UV rays. The super-soft formula glides on effortlessly, delivering flawless, even coverage for the perfect pout.||Choose from a dazzling array of 4 fabulous matte finishes, and pamper your lips with Mars Lipstick to enhance your beauty. The lipstick features a diamond-cut tip with the Mars logo printed on it for easy application and professional results. Mars Lipsticks are 100% vegetarian and suitable for daily use. Enjoy the benefits of a creamy matte lipstick enriched with Shea Butter for a smooth, long-lasting finish.||Perfect for your makeup kit, this lipstick provides both beauty and protection!|||||||Country of Origin : China",23253.0,8905.0,2.8742198989464445,"shades are so beautiful and so afortable and packaging is also good and it's smells so good you must try it it so lovely thanks Meesho lipsticks are perfect shades are adorable ? price is affordable coz of Meesho live ? :backhand_index_pointing_right: perfect for all of us loved this one I wish u should buy this very nice lipstick, nice product, meesho, I sent it just as you had shown, thank you meesho, you can also get it its nourishing,smooth and very lightweight. it's beautiful overall amazing quality :check_mark_button: colors :check_mark_button: packaging :check_mark_button: nice and superbb quality of this lipstick so smooth, creamy texture... it's not a waterproof but shades was too good :hundred_points: :smiling_face_with_smiling_eyes:","['shade', 'lipstick', 'product']","['glass', 'ote', 'coverage']",1.8495824133061387,1
5utebe,Ronzille Long Lasting Waterproof Non Transfer Liquid Matte Lipstick Set of 10,4.3,257.0,"Name : Ronzille Long Lasting Waterproof Non Transfer Liquid Matte Lipstick Set of 10|Product Name : Ronzille Long Lasting Waterproof Non Transfer Liquid Matte Lipstick Set of 10|Brand Name : RONZILLE|Finish : Matte|Color : Multicolor|Type : Crayon|Net Quantity (N) : 10|lipstick for women, lipstick combo, lipstick liquid waterproof, waterproof lipstick, lipstick set, liquid lipstick, matte lipstick, lip liner with lipstick, nude lipstick, korean lipstick, lipstick palette, nude lipstick matte combo, Ronzille nude lipstick, nude pink lipstick, liquid wala lipstick, mars lipstick matte, brown lipstick matte, mini lipstick kit, Ronzille liquid lipstick, nude shade lipstick, maroon lipstick, Ronzille lipstick, brown lipstick, lipstick lipstick; waterproof lipstick liquid, maroon color lipstick, ronzille lipstick, ronzille, ronzille liquid lipstick, ronzille mini lipstick, lipstick ronzille, ronzille lipstick set, ronzille mini liquid lipstick kit, ronzille blush, ronzille lipstick combo, ronzille lip and cheek tint, ronzille long lasting lipstick, ronzille mini liquid lipstick, ronzille matte lipstick, ronzille long lasting, ronzille nude lipstick, ronzille fantastic lip and cheek, ronzille lip tint, ronzille tint, ronzille pocket matte lipstick set, ronzille mini bullet lipstick set, ronzille lip cheek tint, ronzille lipstick matte, ronzille pocket matte lipstick. ronzille mat lipstick, ronzille long lasting waterproof lipstick||Country of Origin : India",86674.0,32852.0,2.0006678684966963,"very nice very beautiful perfume. :cherry_blossom: please buy red_heart :this: and is really waterproof and march pro I love this product. thanks me show this really good product. get it quickly, this product is very awesome smiling_face_with_heart eyes lipstick was very very nice but too small but I love all the shades thankyou so much Meesho for giving this beautiful parcel. love it omg ??this is soo cuteee lipsticks ??size too much small but quality superr ?? thanks meeshooo? good one...value of money..","['colour', 'lipstick', 'product']","['quantity', 'box', 'size']",1.1606741640232807,1
6jppoo,"RED Edition Set of 12 Liquid Lipsticks Matte Finish Long Lasting Lipstick Combo Pack (Muticolor, 64 ml)",3.9,197.0,"Name : RED Edition Set of 12 Liquid Lipsticks Matte Finish Long Lasting Lipstick Combo Pack (Muticolor, 64 ml)|Product Name : RED Edition Set of 12 Liquid Lipsticks Matte Finish Long Lasting Lipstick Combo Pack (Muticolor, 64 ml)|Finish : Long Wearing & Transfer Resistant|Color : Combo Of Different Color|Type : Liquid|Net Quantity (N) : 1||Country of Origin : India",13710.0,4802.0,2.0645474597257247,"wow awesome I am very happy and unacceptable I did not know that it would turn out so good it is a very beautiful colour it is very good as per the price thanks for me only you guys can purchase it you will not get a better product than this anywhere else and so happy I am very very happy :smiling_face_with_hearts: this time the order was wrong, it was from some other company, it was a reddi quality product, this time I am not happy with the delivery of meesho, the quality was very bad, it seems as if water has been mixed in the vermillion and lipstick has been filled in it, it smells bad and you people should think and understand before ordering this product please :pleading_face: :folded_hands: waterproof lipstick the packing was very good but it did not come as I wanted. 3 colours came from above. I did not want one colour three times. one colour came three times. the quality of the product was very good. the colour as was in the picture on the phone was not all that was in it. different colours came from above. it's very good beautiful","['colour', 'product', 'price']","['quantity', 'gel', 'amount']",0.6120182658878396,1
4oywba,"BEAUTY Professional Color Sensational Liquid Lipstick Combo Pack, Set of 4 Edition Mini Lipsticks Matte Finish Lip Color ( Edition, 20 ml).",4.1,102.0,"Name : BEAUTY Professional Color Sensational Liquid Lipstick Combo Pack, Set of 4 Edition Mini Lipsticks Matte Finish Lip Color ( Edition, 20 ml).|Product Name : BEAUTY Professional Color Sensational Liquid Lipstick Combo Pack, Set of 4 Edition Mini Lipsticks Matte Finish Lip Color ( Edition, 20 ml).|Brand Name : Vagons|Finish : Long Wearing & Transfer Resistant|Color : Nude|Type : Liquid|Net Quantity (N) : 4|Add On : Lip Gloss|BEAUTY Professional Color Sensational Liquid Lipstick Combo Pack, Set of 4 Edition Mini Lipsticks Matte Finish Lip Color ( Edition, 20 ml).||Country of Origin : India",12359.0,4882.0,2.082318357018732,"omg this is a great product I never thought that such a good product would be available for so little money. thank you miss it product is very good thank you just color is very good thank you thank you thank you n very nice product :smiling_face_with_hearts: also these are four lipsticks, give them to someone else for two months, by the way it is a good product, if you want you can buy it this is a very good product.... buy it quickly because it gets out of stock too much, it's smiling_face_with_heart amazing eyes star thumbs_up :struck: I just love it :face_blowing_a_kiss: :heart_suit: it is a very nice colour, I like light colour very much, thank you Meesho","['colour', 'quality', 'product']","['quantity', 'mast', 'size']",0.6696332665019119,1
6t642z,Seven Seas 2 in 1 Lipstick | Full Coverage | Comfortable | 2 in 1 | Lipstick + Liquid Lipstick (Rose),4.2,146.0,"Name : Seven Seas 2 in 1 Lipstick | Full Coverage | Comfortable | 2 in 1 | Lipstick + Liquid Lipstick (Rose)|Product Name : Seven Seas 2 in 1 Lipstick | Full Coverage | Comfortable | 2 in 1 | Lipstick + Liquid Lipstick (Rose)|Brand Name : Seven Seas|Finish : Matte|Color : Next to Nude|Type : Stick|Net Quantity (N) : 1|Seven Seas 2 in 1 Lip DUO lipstick + liquid lipstick is an intensely pigmented lipstick that gives you high coverage color. Try long lasting 2 in 1 lipstick for instant bold lips. Hard to fade, moisturized and silky formula. Lipstick, Makeup, Makeup Kit||Country of Origin : India",5232.0,2280.0,0.7291628858652153,"it's good nude shade very nice I am happy good :thumbs_up_light_skin_tone: product :thumbs_up_light_skin_tone: very nice lipstick :lipstick: delivery is too late, but I like the product its very good, go for it light weight, and much proof. this product is really very good :smiling_face_with_smiling_eyes: I love it, thanks messho","['colour', 'lipstick', 'product']","['quantity', 'del', 'ivery']",-0.8006225831838476,0
5vndv2,"BROWN BLUSH Matte Mini, Combo Of Different Color/ MatteLiquid/ LipstickPack of 8",4.0,121.0,"Name : BROWN BLUSH Matte Mini, Combo Of Different Color/ MatteLiquid/ LipstickPack of 8|Product Name : BROWN BLUSH Matte Mini, Combo Of Different Color/ MatteLiquid/ LipstickPack of 8|Brand Name : Brown Blush|Finish : Matte|Color : Combo Of Different Color|Type : Liquid|Net Quantity (N) : 8|Add On : Lip Gloss||Country of Origin : India",29103.0,13993.0,2.1937789691779166,"I have this lipstick which is 8 pieces, it is very good and money also comes with it, the product is very good and its company is also very good loved it and it has very good pigment e nice product very good thanks Meesho very nyc and beautiful as per price price according product is very good heavy color with nude color very very nice :thumbs_up:","['shade', 'lipstick', 'product']","['calorie', 'delivery', 'size']",0.9420969179061016,1
529ktd,LIPSTIK PAKEOF 4 MATT,3.8,95.0,Name : LIPSTIK PAKEOF 4 MATT|Product Name : LIPSTIK PAKEOF 4 MATT|Finish : Long Wearing & Transfer Resistant|Color : Multicolor|Type : Stick|Net Quantity (N) : 4||Country of Origin : India,6250.0,1522.0,0.788467585859242,"the lipsticks are very pigmented good quality :smiling_face_with_smiling_eyes: it's a completely matte lipstick and it feels awesome it's nice :thumbs_up: I am very very happy thank you Meesho ??i love Meesho nice product,worth the money","['colour', 'lipstick', 'product']","['size', 'mini', 'face']",-0.839482902497076,0
59mkx0,"Ronzille Long Lasting Hydrating Mini Lipstick-Pack of 6 (Nude Edition,6 G)",3.7,130.0,"Name : Ronzille Long Lasting Hydrating Mini Lipstick-Pack of 6 (Nude Edition,6 G)|Product Name : Ronzille Long Lasting Hydrating Mini Lipstick-Pack of 6 (Nude Edition,6 G)|Brand Name : RONZILLE|Finish : Matte|Color : Brown|Type : Liquid|Net Quantity (N) : 6|Makeup kit|Makeup|Lipstick|Ranzille Lipstick Shade Sampler Kit is a miniaturo pack of 6 shades specially curated for you to test out the stay, texture and find a perfect shade to look your best. It is made by cutting out unnecessary ingredients from the formula while making it as wholesome as possible without compromising on the 'glam factor These miniature lipsticks can also be used as a lip balm that nurtures, repairs, and moisturises the lips and makes them look plumped and beautiful at all times lipstick for women, lipstick combo, lipstick liquid waterproof, waterproof lipstick, lipstick set, liquid lipstick, matte lipstick, lip liner with lipstick, nude lipstick, korean lipstick, lipstick palette, nude lipstick matte combo, Ronzille nude lipstick, nude pink lipstick, liquid wala lipstick, mars lipstick matte, brown lipstick matte, mini lipstick kit, Ronzille liquid lipstick, nude shade lipstick, maroon lipstick, Ronzille lipstick, brown lipstick, lipstick lipstick; waterproof lipstick liquid, maroon color lipstick, ronzille lipstick, ronzille, ronzille liquid lipstick, ronzille mini lipstick, lipstick ronzille, ronzille lipstick set, ronzille mini liquid lipstick kit, ronzille blush, ronzille lipstick combo, ronzille lip and cheek tint, ronzille long lasting lipstick, ronzille mini liquid lipstick, ronzille matte lipstick, ronzille long lasting, ronzille nude lipstick, ro||Country of Origin : India",16242.0,6352.0,1.6643123622702831,"very cute very beautiful but very very small :smiling_face_with_smiling_eyes: try!! smell is also good :smiling_face_with_smiling_eyes: very good produced I loved it......nice color same 2 same....thank u the shades are good value of money but one shade was broken so a bit disappointed but not returning overall a good product for a person liking nude shades and beginner friendly I got 6 lipsticks in 114, 5 colors are good, one is a little less good all shades are good,and long losing also","['shade', 'color', 'product']","['size', 'dealer', 'face']",0.10530410450462824,1
