product_id,rating,date,helpful_count,review
4obtb7,4.0,2025-03-26,11,it's very good but there is very little lipstick. a little bit.
4obtb7,4.0,2023-10-23,346,"it is very good, it is water proof :red_heart: but it is missing the kajal? that is why I reduced it by one star"
4obtb7,4.0,2024-10-06,78,"the shade of lipstick is good but I have given only 2 kajals, those too were not waterproof and the packaging was also not good so I have exchanged them"
4obtb7,4.0,2025-03-21,23,"lipstick shades are very good, kajal liners are also very good, they are waterproof but the lipstick is a little less, but don't worry, I am happy, thank you, Meesho :thumbs_up:"
4obtb7,4.0,2024-11-25,12,4 lipstick :lipstick: nighalaya aani 3 kajal pan eyeliner nahi nighal :frowning_face:
4obtb7,4.0,2024-11-26,6,the lipstick shade is dry :..it: face_with_rolling_eyes was a liner but Meesho has sent 2 kajal
4obtb7,4.0,2025-04-01,0,wow so good color thankyou :smiling_face_with_open_hands: Meesho :smiling_face_with_open_hands:
4obtb7,5.0,2025-03-31,0,"this is beautiful product and color shade is very beautiful eyeliner, kajal is very beautiful delivery on time"
4obtb7,4.0,2024-10-04,9,I have received this product and the liner is also missing and two lipsticks too but I don't know who keeps them
4obtb7,4.0,2024-12-06,3,the product is good peking is nice but not a kajjal thing has been added to it
4obtb7,4.0,2025-03-13,28,it's very fast delivery :delivery_truck: I received my parcel :package: in just 3 days nice :thumbs_up: :slightly_smiling_face:
4obtb7,4.0,2024-04-03,104,"nice lipstick, kajal eyeliner must buy guyz"
4obtb7,4.0,2024-12-06,1,"lipstick is ok but kajal is not ok, mascara is missing"
4obtb7,4.0,2024-10-14,7,it's good but show me the liner and give me two kajals and one kajal is empty :folded_hands:
4obtb7,5.0,2025-03-19,13,veryyy good thumbs_up :prodect: :victory_hand: :heart_suit: and veryy fast delivery :delivery_truck: and I received my parcal jast 4 days only :package: to good prodect :sparkling_heart: :smiling_face_with_smiling_eyes:
4obtb7,5.0,2025-03-31,0,"the product is very good and the color finishing is also very good and the kajal and liner are also very good, the fragrance is also good, it is waterproof and long lasting too, I am really very happy :thank: smiling_face_with_smiling_eyes"
4obtb7,4.0,2025-03-27,1,it does not have red colour but it is ok and its smell is not good
4obtb7,3.0,2025-03-31,0,"it is broken.. :there: pleading_face was one more thing, it did not come and looks old, it looks very rough and tough.."
4obtb7,5.0,2025-03-19,9,very nice :thumbs_up: product and this product by waterproof
4obtb7,5.0,2025-03-31,0,product is very good.. value for money I am very happy :smiling_face_with_open_hands:
4obtb7,3.0,2025-03-29,0,"nice, but quality is ok ok but 2 lipsticks same same h"
4obtb7,4.0,2025-01-13,3,very good products iam happy thank you message
4obtb7,4.0,2024-11-30,0,it's good but the eye liner was not missing
4obtb7,4.0,2024-10-22,4,super product thank you Meesho
4obtb7,4.0,2024-10-16,2,kajal is missing and both liners are of good quality.
4obtb7,4.0,2024-10-06,2,ok ok product :face_with_rolling_eyes: but eyeliner is not good :thumbs_up_light_skin_tone:
4obtb7,4.0,2024-10-03,5,the price of the products is good.
4obtb7,4.0,2024-02-14,33,nice product but lipstick is very small
4obtb7,5.0,2024-06-07,22,this product is very very nice I am very glad :smiling_face_with_smiling_eyes: thank you so much Meesho just looking like a wow :thumbs_up:
4obtb7,5.0,2025-03-29,0,"it turned out very good, highly recommend guys :face_blowing_a_kiss: :heart_exclamation:"
4obtb7,5.0,2025-03-27,0,it is a very good product
4obtb7,5.0,2025-03-27,0,it's all very good I liked it
4obtb7,5.0,2025-03-25,4,it is a very good product as per the price :smiling_face_with_hearts:
4obtb7,3.0,2024-10-20,1,"lipsticks :lipstick: color so pretty :cherry_blossom: and the 2 eyeliner that is shown in the photo did not come, 2 kajal came but I wanted kajal, so I kept it :thumbs_up_light_skin_tone:"
4obtb7,5.0,2024-12-08,0,"very good product good colors matte and water proof , transfer proof also , good product at a cheap price :thumbs_up_light_skin_tone: thankyou Meesho"
4obtb7,3.0,2024-12-03,0,"the lipstick is 1 different, I had told you about one eyeliner and one kajal, but 2 kajals have arrived... please check the Meesho product and send it..."
4obtb7,5.0,2025-03-08,30,a very nice product. 4 different colors and water proof
4obtb7,4.0,2025-03-27,0,nice to use
4obtb7,5.0,2025-03-25,2,very very very awesome product and also very less price and good product I love the quantity price and also its waterproof I love the all products over all guys you have must must must buy this product's
4obtb7,4.0,2025-03-27,0,I am glad to receive the product
4obtb7,4.0,2025-03-27,0,all good :thumbs_up: thank you meesho..
4obtb7,4.0,2024-10-18,1,"the lipstick is fine but I have given both the kajals the same as shown in the pic, they did not come out like that but they are long lasting and are also water proof"
4obtb7,4.0,2024-09-22,6,"it looks good but after using it you will know how long lasting it is and the kajal is also good, I am happy star star struck struck thank you Meesho :partying_face:"
4obtb7,5.0,2024-12-25,1,nice product :check_mark_button: four lipstick and one eyeliner and one kajal thank you Meesho I love it Meesho
4obtb7,5.0,2024-12-05,0,lipstick and eyeliner are so good that I liked it very much thanks miss you
4obtb7,3.0,2024-10-15,1,lipstick is good but you used kajal instead of eyeliner... this is wrong... but I have kept it
4obtb7,5.0,2025-03-24,4,very good product :liquid: thumbs_up matte and beauty lipstick water backhand_index_pointing_right :proof: received 1 day ago thank you messho
4obtb7,4.0,2025-03-04,34,best and good in less pric and easy to carry lipsticks eyeliner is also good but kajal is very bad
4obtb7,5.0,2025-03-26,0,this is super good I like it was so good and the shit your so pretty
4obtb7,5.0,2025-03-22,4,really nyc but kajal is missing....but no worry go for it le skte h product acha h
4obtb7,5.0,2025-03-21,2,"thank you meesho, it has come out exactly as it was shown, I am very happy, thank you Meesho"
4obtb7,5.0,2025-03-21,1,very nice thanks Meesho nice colour nice quality thankss you people also must take it
4obtb7,5.0,2025-03-20,0,"it is good, the color product is also good, you can also buy it :folded_hands_light_skin_tone: :red_heart: :two_hearts: :thumbs_up_light_skin_tone: thank you miss ho"
4obtb7,4.0,2024-11-30,0,the lipstick is good but I haven't given you the eyeliner and I have given you the kajal but it is broken
4obtb7,4.0,2024-10-22,1,all good but I received 2 kajal instead of 1 kajal and 1 eyeliner which I ordered
4obtb7,4.0,2024-10-15,1,"the lipstick is good but two liners have come, there was a kajal, please check and give it to me"
4obtb7,4.0,2024-10-05,2,"I received a very good product but instead of eyeliner you sent only kajal, thank you :smiling_face_with_hearts:"
4obtb7,5.0,2024-12-14,0,super quality waterproof lipstick and eye liner
4obtb7,5.0,2025-03-25,1,very nice product very very very nice
4obtb7,4.0,2025-02-23,19,"she also had kajal but that did not come, everything else is good"
4obtb7,4.0,2025-02-20,16,"it is not at all as it appeared, I have changed the kajal and eye liner"
4obtb7,3.0,2025-03-21,0,there is very little quantity...
4obtb7,5.0,2025-03-21,2,so sweet Meesho thank you smiling_face_with_open_hands :mesho:
4obtb7,5.0,2025-03-27,0,"nice product, nice colour"
4obtb7,5.0,2025-03-24,1,very good product thank you Meesho I can't believe
4obtb7,3.0,2025-03-20,1,nice bt quality is ok ok and 2 lipstick shade is same
4obtb7,5.0,2024-10-24,1,everything is great it's budget friendly and waterproof smudge proof but I had a tiny disappointed to the eyeliner it's not eyeliner it's kajal anyway ok ok Meesho now days ur delivery partner doesn't delivery the product at the time 3 product doesn't delivery given the time now your the worst shopping app
4obtb7,4.0,2024-12-09,0,beautiful products but kajol receipt is damaged.
4obtb7,4.0,2024-12-02,0,everything is good but kajal do h liner nahi lekin h
4obtb7,4.0,2024-10-16,1,"eye liner missing please, exchange the correct product."
4obtb7,4.0,2024-10-13,1,lipstick is good but instead of eyeliner both have given kajal
4obtb7,4.0,2023-10-08,19,"a different colour the colour I ordered did not arrive, another one arrived"
